ID_EVC,DISTRICT_NUMBER,DISTRICT_NAME,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,AD_NAME,AD_NUMBER,LOCATION,CAPACITY,SOCKET_TYPE,SOCKET_NUMBER,OPERATOR
33,13,PUENTE DE VALLECAS,134,PALOMERAS SURESTE,AVENIDA DE LA ALBUFERA,319,APARCAMIENTO,2,CHAdeMO,3,ECOLINERAS
33,,,,,,,,,Dual_Mennekes,,
34,16,HORTALEZA,166,VALDEFUENTES,AVENIDA MARÍA DE PORTUGAL,15,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,IBERDROLA
34,,,,,,,,,Dual_Mennekes,,
35,17,VILLAVERDE,173,BUTARQUE,AVDA. DE LOS ROSALES,147,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
35,,,,,,,,,Dual_Mennekes,,
36,18,VILLA DE VALLECAS,183,ENSANCHE DE VALLECAS,AVENIDA REAL DE ARGANDA,74,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
36,,,,,,,,,Dual_Mennekes,,
37,20,SAN BLAS - CANILLEJAS,206,REJAS,"BARAJAS II A2 KM 12,6",S/N,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,REPSOL
37,,,,,,,,,Dual_Mennekes,,
38,1,CENTRO,16,SOL,PLAZA DE JACINTO BENAVENTE,6,APARCAMIENTO,1,CHAdeMO,3,EMT
38,,,,,,,,,Dual_Mennekes,,
39,4,SALAMANCA,41,RECOLETOS,JARDINES DEL DESCUBRIMIENTO - ACCESO A COMPLEJO DE APARCAMIENTOS SUBTERRÁNEOS POR CALLE DE LA ARMADA ESPAÑOLA,S/N,VÍA PÚBLICA,4,CHAdeMO,3,EMT
39,,,,,,,,,Dual_Mennekes,,
40,4,SALAMANCA,45,LISTA,PLAZA DE MARQUÉS DE SALAMANCA,S/N,APARCAMIENTO,1,CHAdeMO,3,EMT
40,,,,,,,,,Dual_Mennekes,,
41,5,CHAMARTÍN,56,CASTILLA,CALLE HIEDRA,36,APARCAMIENTO,1,CHAdeMO,3,EMT
41,,,,,,,,,Dual_Mennekes,,
42,1,CENTRO,11,PALACIO,PLAZA DE LA CEBADA,S/N,APARCAMIENTO,1,CHAdeMO,2,DRIVE THE CITY
43,1,CENTRO,15,UNIVERSIDAD,CALLE ALBERTO AGUILERA,9,ESTACIÓN DE SERVICIO,1,CHAdeMO,2,REPSOL
44,3,RETIRO,32,ADELFAS,PLAZA DEL CONDE DE CASAL,6,APARCAMIENTO,2,CHAdeMO,2,DRIVE THE CITY
45,8,FUENCARRAL - EL PARDO,88,EL GOLOSO,CALLE DEL MONASTERIO DE ARLANZA,20,APARCAMIENTO,2,CHAdeMO,2,IBERDROLA
46,16,HORTALEZA,163,CANILLAS,AVENIDA DE MACHUPICHU,105,ESTACIÓN DE SERVICIO,1,CHAdeMO,2,GIC
47,16,HORTALEZA,166,VALDEFUENTES,AVENIDA DE NICETO ALCALA ZAMORA,20,ESTACIÓN DE SERVICIO,1,CHAdeMO,2,GIC-GALP
48,18,VILLA DE VALLECAS,181,CASCO HISTÓRICO DE VALLECAS,AVENIDA EJE CENTRAL,7,ESTACIÓN DE SERVICIO,1,CHAdeMO,3,NATURGY
48,,,,,,,,,Dual_Mennekes,,
49,18,VILLA DE VALLECAS,181,CASCO HISTÓRICO DE VALLECAS,CARRETERA DE VILLAVERDE A VALLECAS,278,ESTACIÓN DE SERVICIO,1,CHAdeMO,2,REPSOL
50,21,BARAJAS,215,CORRALEJOS,AVENIDA DEL CONSEJO DE EUROPA,2,ESTACIÓN DE SERVICIO,4,Other,1,GIC-CEPSA
51,21,BARAJAS,215,CORRALEJOS,AVENIDA DEL PARTENÓN,5,APARCAMIENTO,2,CHAdeMO,2,IBERDROLA
52,18,VILLA DE VALLECAS,181,CASCO HISTÓRICO DE VALLECAS,AVENIDA DE LEGAZPI,S/N,MERCAMADRID,2,CHAdeMO,3,DRIVE THE CITY
52,,,,,,,,,Dual_Mennekes,,
53,18,VILLA DE VALLECAS,181,CASCO HISTÓRICO DE VALLECAS,AVDA LEGAZPI,S/N,MERCAMADRID,1,CHAdeMO,3,DRIVE THE CITY
53,,,,,,,,,Dual_Mennekes,,
54,18,VILLA DE VALLECAS,181,CASCO HISTÓRICO DE VALLECAS,CALLE 3,S/N,MERCAMADRID,1,CHAdeMO,3,GIC
54,,,,,,,,,Dual_Mennekes,,
