ID_EVC;LONGITUDE;LATITUDE
1;-3.7201473156461375;40.40743407458791
2;-3.6997992765156558;40.40569520479104
3;-3.6751421034029192;40.399922274561135
4;-3.6889136893095977;40.41927140496916
5;-3.681028051896125;40.42490741052185
6;-3.671788088760736;40.424624725938266
7;-3.6807519168949834;40.43502578086607
8;-3.670373950104634;40.434417263855806
9;-3.776691214059381;40.37398934590617
10;-3.667376507085493;40.4588918115203
11;-3.683671098580723;40.42922062927295
12;-3.6879942365860536;40.435532388645
13;-3.690785770369471;40.44544386044861
14;-3.6905730976132696;40.4584614924218
15;-3.6703025584045905;40.46681853827854
16;-3.70919657091778;40.43519342546603
17;-3.7072737357056633;40.43152363568802
18;-3.6990881789403667;40.430519683560256
19;-3.68647195623001;40.459021368138444
20;-3.7002799120482464;40.43825507999899
21;-3.689175754971422;40.43190697039017
22;-3.687712482012503;40.47431282339521
23;-3.6555154942566817;40.45405127828099
24;-3.7096680445831605;40.41077030374157
25;-3.685538987766361;40.46656521264047
26;-3.7085253789993753;40.46141261508402
27;-3.7085253789993753;40.50229488532471
28;-3.7578167863625502;40.4612054462845
29;-3.820028586362387;40.469013431218706
30;-3.790429483519571;40.37865561350577
31;-3.7660120127556116;40.36876820200448
32;-3.768479285882486;40.37875102763547
33;-3.6318017152006146;40.38450805323866
34;-3.662794481128093;40.497700264478404
35;-3.6687734405066754;40.33985888112177
36;-3.6049518728735785;40.37628501210588
37;-3.565409599881658;40.44950052624922
38;-3.7043079266401757;40.41483116596961
39;-3.689934858070675;40.42450577642414
40;-3.6790182445379407;40.43040265359535
41;-3.6790949942874556;40.472345177384454
42;-3.7096677000941787;40.41078225237784
43;-3.7083233579040282;40.42955648436703
44;-3.669554763155285;40.40653566706126
45;-3.6908353819798325;40.510315160154185
46;-3.6361682659227186;40.4649438208171
47;-3.6482090146418304;40.49409980475771
48;-3.6562479399163377;40.36390490337745
49;-3.638584183453061;40.37238010437278
50;-3.6158147191998244;40.45841126207723
51;-3.6133804237614227;40.464101895991064
52;-3.6603190510111276;40.36369709362097
53;-3.6587548758083535;40.36242419231623
54;-3.670564224502922;40.3591828943828
55;-3.6784157258695562;40.418519734203265
56;-3.6921493405909263;40.41616234877568
57;-3.7292878513494454;40.372600025831254
58;-3.71872151466595;40.42994857983876
59;-3.714902402258369;40.33613922415446
60;-3.702256121783717;40.4497588695961
61;-3.6962663642768923;40.374227623083954
62;-3.6944053888437187;40.36665437528231
63;-3.664043060855913;40.47279136979009
64;-3.6591254927889105;40.35761760085317
65;-3.6582672641973226;40.45737609727473
66;-3.656500898830007;40.440043377209534
67;-3.6520019017630045;40.407461948402975
68;-3.62535561751416;40.44115813565211
69;-3.6016133258515026;40.3690634834427
70;-3.5879339622390987;40.4431679660225
71;-3.5757505514356707;40.44601181956681
72;-3.656194441143055;40.36389449395046
73;-3.692417496494089;40.425889886009394
74;-3.6904336457254754;40.46783878558045
75;-3.6767845624164517;40.43804837411116
76;-3.6620781028469627;40.35918886305115
77;-3.6591254927889105;40.35761760085317
