tipo_establecimiento,tipo_titularidad,municipio_codigo,municipio_nombre,direccion_establecimiento,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_piso,direccion_puerta,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso,codigo_dea
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T1 EMBARQUE B26/29 AENA SME SA,451534,4479851,24H,2018-600
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T1 FACTURACION MOSTRADOR 225 AENA SME SA,451534,4479851,24 H,2018-601
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T2 LLEGADAS AUTOGIRO AENA SME SA,451534,4479851,24 H,2018-606
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T2 LLEGADAS SALA 5 CINTA 4 AENA SME SA,451534,4479851,24 H,2018-607
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T2 LLEGADAS SALA 6 (FUERA) AENA SME SA,451534,4479851,24 H,2018-608
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T2 LLEGADAS SALA 6 CINTAS 8 Y 9 AENA SME SA,451534,4479851,24H,2018-609
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T3 FILTRO SEGURIDAD AENA SME SA,451534,4479851,24H,2018-620
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T3 EMBARQUE E 70 AENA SME SA,451534,4479851,24H,2018-621
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T3 EMBARQAUE E75/78 AENA SME SA,449721,4482599,24H,2018-622
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4 APM VIAL NORTE AENA SME SA,449721,4482599,24 H,2018-623
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4S APM ANDEN DIRECCION T4S AENA SME SA,449721,4482599,24H,2018-646
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,AVDA de Guadalajara 69  ,AVDA,Guadalajara,69,,,28032,JUNTAO A LA ENTRADA EN DESPACHO DE AUXILIARES DE CONTROL AGENCIA MADRILENA DE ATENCION SOCIAL,447685,4474637,,2018-677
Establecimiento dependiente de una Administracion Publica,Publica,058,Fuenlabrada,CALLE de Grecia 0 1ª ,CALLE,Grecia,0,1ª,,28943,ESQU. AVDAS DE LAS NACIONES. EN CUADRO DE CONTROL AGENCIA MADRILENA DE ATENCION SOCIAL,431641,4459336,,2018-679
Centros residenciales de mayores con 200 plazas,Publica,006,Alcobendas,CALLE de Francisco Chico Mendes 8 BAJA ,CALLE,Francisco Chico Mendes,8,BAJA,,28108,"ZONA ENFERMERIA, SALA DE URGENCIAS AGENCIA MADRILENA DE ATENCION SOCIAL",444637,4485955,24H,2018-730
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Benimamet 117  ,CALLE,Benimamet,117,,,28021,HALL DE ENTRADA. AUXILIARES DE CONTROL AGENCIA MADRILENA DE ATENCION SOCIAL,441846,4466187,,2018-751
Centro educativo,Publica,132,San Martin de la Vega,AVDA de los Abogados de Atocha 20  ,AVDA,los Abogados de Atocha,20,,,28330,HALL DE ENTRADA I.E.S.  ANSELMO LORENZO,451793,4451759,8-22,2018-758
Establecimiento dependiente de una Administracion Publica,Publica,006,Alcobendas,CALLE de Jaen 77  ,CALLE,Jaen,77,,,28100,PABELLON DEPORTIVO LUIS BUNUEL. EN HALL PABELLON AYTO. ALCOBENDAS,445757,4489139,COMPETICIONES,2018-499
Establecimiento dependiente de una Administracion Publica,Publica,006,Alcobendas,CALLE de Miraflores 18  ,CALLE,Miraflores,18,,,28100,PABELLON DEPORTIVO MIRAFLORES. EN HALL PABELLON AYUNTAMIENTO DE ALCOBENDAS,445916,4488661,COMPETICIONE,2018-500
Establecimiento dependiente de una Administracion Publica,Publica,006,Alcobendas,AVDA de Espana 0  ,AVDA,Espana,0,,,28100,CAMPO DE FUTBOL NAVARRA 1. LOCAL SOCIAL AYTO DE ALCOBENDAS,445463,4488360,COMPETICIONES,2018-501
Establecimiento dependiente de una Administracion Publica,Publica,006,Alcobendas,CALLE de Tarragona 61  ,CALLE,Tarragona,61,,,28100,CAMPO DE FUTBOL OSCAR MOLINA. EN VESTUARIO AYTO DE ALCOBENDAS,445648,4489187,COMPETICIONES,2018-502
Establecimiento dependiente de una Administracion Publica,Publica,133,San Martin de Valdeiglesias,CALLE de San Martin 2 BAJA ,CALLE,San Martin,2,BAJA,,28680,SALA DE CURAS DE ENFERMERIA AGENCIA MADRILENA DE ATENCION SOCIAL,380931,4469187,24 H,2018-702
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Francisco del Pino 32  ,CALLE,Francisco del Pino,32,,,28021,PUESTO DE CONTROL AGENCIA MADRILENA DE ATENCION SOCIAL,441247,4479661,,2018-713
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Camarena 181  B,CALLE,Camarena,181,,B,28047,EN EL CONTROL DE ENTRADA AGENCIA MADRILENA DE ATENCION SOCIAL,435946,4471118,8-20,2018-771
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Arturo Soria 12  ,CALLE,Arturo Soria,12,,,28027,HALL DE LA ENTRADA PRINCIPAL AGENCIA MADRILENA DE ATENCION SOCIAL,445840,4476695,24H,2018-806
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de las Carolinas 33  ,CALLE, Carolinas,33,,,28039,Centro ubicado a nivel de la calle CENTRO DE MAYORES TETUAN,440088,4478059,9:00 a 20:00,2018-870
Centro de trabajo con mas de 250 trabajadores,Publica,079,Madrid,AVDA de Pablo Neruda 142 0 ,AVDA,Pablo Neruda,142,0,,28018,JUNTO A PUNTO DE INFORMACION Y GABINETE MEDICO ASAMBLEA DE MADRID,443806,4470358,8-21,2018-893
Establecimiento dependiente de una Administracion Publica,Publica,006,Alcobendas,AVDA del Doctor Severo Ochoa 1  ,AVDA,Doctor Severo Ochoa,1,,,28100,PABELLON DE LOS SUENOS. EN HALL DE ENTRADA AYTO. ALCOBENDAS,444937,4488545,L A D 8-21.30,2018-504
Establecimiento dependiente de una Administracion Publica,Publica,006,Alcobendas,AVDA Olimpica 0  ,AVDA,Olimpica,0,,,28108,PABELLON PEDRO FERRANDIS. ENTRADA AL PABELLON AYTO. ALCOBENDAS,446180,4487435,L A D 8-21.30,2018-505
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Josefa Valcarcel 44 BAJA ,CALLE,Josefa Valcarcel,44,BAJA,,28027,PLANTA BAJA. SSCC JEFATURA CENTRAL DE TRAFICO,445729,4477702,24H,2018-526
Establecimiento dependiente de una Administracion Publica,Publica,131,San Lorenzo de El Escorial,CALLE Presilla 11 1ª DCHA,CALLE,Presilla,11,1ª,DCHA,28200,CASA DE LA JUVENTUD. OFICINA DE SECRETARIA AYUNTAMIENTO DE SAN LORENZO DE EL ESCORIAL,402859,4494344,10-14 17-21,2018-557
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4S PLANTA 2 ALTURA PUERTA S26 AENA SME SA,449721,4482599,24H,2018-662
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Rafael Finat 48  ,CALLE,Rafael Finat,48,,,28044,CENTRO OCUPACIONAL. VITRINA EN COMEDOR DE USUARIOS AGENCIA MADRILENA DE ATENCION SOCIAL,434512,4470027,L A V 9-17,2018-684
Establecimiento dependiente de una Administracion Publica,Publica,005,Alcala de Henares,CALLE Damas 4  ,CALLE,Damas,4,,,28801,"DENTRO DE CONTROL, FRENTE A LA PUERTA EN PORA DESFIBRILADOR AGENCIA MADRILENA DE ATENCION SOCIAL",448378,4431944,,2018-685
Establecimiento dependiente de una Administracion Publica,Publica,131,San Lorenzo de El Escorial,CALLE Juan de Austria 1 BAJA ,CALLE,Juan de Austria,1,BAJA,,28200,CONTROL DE ENTRADA - CM SAN LORENZO DEL ESCORIAL AGENCIA MADRILENA DE ATENCION SOCIAL,402843,4494192,8-20.30,2018-686
Establecimiento dependiente de una Administracion Publica,Publica,013,Aranjuez,CALLE del Gobernador 80  ,CALLE,Gobernador,80,,,28300,A LA DERECHA DE RECEPCION SOBRE UNA BALDA AGENCIA MDRILENA DE ATENCION SOCIAL,448886,4431501,,2018-792
Establecimiento dependiente de una Administracion Publica,Publica,113,Pinto,CALLE de los Coronados 7  ,CALLE,los Coronados,7,,,28320,EN CONSERJERIA AGENCIA MADRILENA DE ATENCION SOCIAL,440479,4454819,9-20,2018-793
Establecimiento dependiente de una Administracion Publica,Publica,074,Leganes,CALLE Pedro Patino 4  ,CALLE,Pedro Patino,4,,,28914,EN UNIDAD DE CONTROL DEL CENTRO AGENCIA MADRILENA DE ATENCION SOCIAL,435785,4464349,L A V 9-16.30,2018-794
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Sierra de Palomeras 5  ,CALLE,Sierra de Palomeras,5,,,28031,EN DEPARTAMENTO DE CONTROL.EN PARED FRENTE A PUERTA AGENCIA MADRILENA DE ATENCION SOCIAL,447079,4469910,9-20,2018-795
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de La Maso 40 1ª ,CALLE,La Maso,40,1ª,,28034,EN PASILLO ENFERMERIA FRENTE DESPACHO MEDICO. MOD. AZUL AGENCIA MADRILENA DE ATENCION SOCIAL,439450,4482273,24H,2018-796
Establecimiento dependiente de una Administracion Publica,Publica,131,San Lorenzo de El Escorial,CALLE las Pozas 183 BAJA ,CALLE,las Pozas,183,BAJA,,28200,POLIDEPORTIVO ZABURDON. EN SECRETARIA AYUNTAMIENTO DE SAN LORENZO DE EL ESCORIAL,404611,4495231,8-23,2018-559
Establecimiento dependiente de una Administracion Publica,Publica,131,San Lorenzo de El Escorial,PLAZA de la Constitucion 3 BAJA B,PLAZA,Constitucion,3,BAJA,B,28200,CASA CONSISTORIAL.HALL DE ENTRADA AYUNTAMIENTO DE SAN LORENZO DE EL ESCORIAL,402780,4494039,24H,2018-560
Otros,Publica,058,Fuenlabrada,CALLE de Castilla la Vieja 19 0 ,CALLE,Castilla la Vieja,19,0,,28941,"FONDO DEL PASILLO A LA DERECHA, JUNTO ZONA DE TRATAMIENTOS FUNDACION ASPANDI",431662,4460703,8-20,2018-571
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad   ,AVDA,Hispanidad,,,,28042,T1 LLEGADAS. SALA 1 ENTRE CONTROL PASAPORTES Y PLATAFORMA AENA SME SA,451534,4479851,24 H,2018-586
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T2 LLEGADAS SALA DE AUTORIDADES AENA SME SA,451534,4479851,24 H,2018-605
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T2 EMBARQUE C44 JUNTO A PLAZA MAYOR AENA SME SA,451534,4479851,24H,2018-610
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,TD EDIFICIO UNION -CCVV AENA SME SA,451534,4479851,24 H,2018-611
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T2 EMBARQUE C47/48 AENA SME SA,451534,4479851,24 H,2018-612
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T2 FILTRO T2 -CENTRO AENA SME SA,451534,4479851,24 H,2018-613
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T2 PLAZA DEL METRO AENA SME SA,451534,4479851,,2018-614
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4S APM ANDEN DIRECCION T4 AENA SME SA,449721,4482599,24H,2018-648
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4S EMBARQUE M37 AENA SME SA,449721,4482599,24H,2018-649
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4S EMBARQUE M28 FRENTE AT. CLIENTE IBERIA AENA SME SA,449721,4482599,24H,2018-650
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4S EMBARQUE U62 AENA SME SA,449721,4482599,24H,2018-651
Establecimiento dependiente de una Administracion Publica,Publica,005,Alcala de Henares,CALLE Ajalvir 1 4ª ,CALLE,Ajalvir,1,4ª,,28806,RESIDENCIA PERSONAS MAYORES. EN LA SALA DE CURAS AGENCIA MADRILENA DE ATENCION SOCIAL,468086,4482153,24 H,2018-689
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE del Arroyo del Olivar 106  ,CALLE,Arroyo del Olivar,106,,,28018,JUNTO A LA PUERTA DE ENTRADA AL MOSTRADOR DE RECEPCION CM PUENTE VALLECAS - AGENCIA MADRILENA DE ATENCION SOCIAL,444145,4471267,8-20,2018-785
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Perelada 3  ,CALLE,Perelada,3,,,28038,"EN LA ENTRADA A LA DERECHA, TRAS LA MESA DEL VIGILANTE. DEPENDENCIAS DEL ALTO DEL ARENAL",445301,4471373,9-13.45 Y 16-19.45,2018-840
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Arturo Soria 125 2ª ,CALLE,Arturo Soria,125,2ª,,28043, JEFATURA PROVINCIAL DE TRAFICO DE MADRID,444458,4478312,7-18,2018-522
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Josefa Valcarcel 28 BAJA ,CALLE,Josefa Valcarcel,28,BAJA,,28027,EN EL SERVICIO MEDICO JEFATURA CENTRAL DE TRAFICO,445351,4477780,24H,2018-527
Centro educativo,Publica,131,San Lorenzo de El Escorial,CALLE Monte del Fraile 6 BAJA ,CALLE,Monte del Fraile,6,BAJA,,28200,COLEGIO INFANTIL Y PRIMARIA ANTONIO ROBLES. DESPACHO SECRETARIA AYUNTAMIENTO DE SAN LORENZO DE EL ESCORIAL,404699,4495447,,2018-556
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4 EMBARQUE J46 AENA SME SA,449721,4482599,24 H,2018-633
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4 EMBARQUE CERCA IMAGINARIUM / ASCENSOR A FILTROS AENA SME SA,449721,4482599,24H,2018-634
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4 EMBARQUE PROXIMO A PUERTAS J40 Y J41 AENA SME SA,449721,4482599,24H,2018-642
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4 EMBARQUE K62-K64 AENA SME SA,449721,4482599,24H,2018-643
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4 PLANTA 2 PASADO FILTRO PASAJEROS AENA SME SA,449721,4482599,24H,2018-644
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4S COMERCIO PRENSA THINKING ESPANA AENA SME SA,449721,4482599,24H,2018-652
Establecimiento dependiente de una Administracion Publica,Publica,036,Casarrubuelos,CMNO de Torrejon de Velasco 12  ,CMNO,Torrejon de Velasco,12,,,28977,POLIDEPORTIVO AYUNTAMIENTO DE CASARRUBUELOS,429333,4447202,,2018-707
Establecimiento dependiente de una Administracion Publica,Publica,036,Casarrubuelos,CALLE Murcia S/N  ,CALLE,Murcia,S/N,,,28977,PISCINA AYUNTAMIENTO DE CASARRUBUELOS,429990,4447208,,2018-708
Establecimiento dependiente de una Administracion Publica,Publica,036,Casarrubuelos,CALLE Murcia S/N  ,CALLE,Murcia,S/N,,,28977,PROTECCION CIVIL AYUNTAMIENTO DE CASARRUBUELOS,429989,4447198,,2018-709
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Josefa Valcarcel 1 1ª ,CALLE,Josefa Valcarcel,1,1ª,,28027,EN ENFERMERIA SOBRE CARRO DE PARADAS AGENCIA MADRILENA DE ATENCION SOCIAL,444950,4477691,,2018-718
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,GTA de Los Carmenes 2  ,GTA,Los Carmenes,2,,,28047,"EN EL HALL DE ENTRADA, EN PUESTO DE CONTROL E INFORMACION AGENCIA MADRILENA DE ATENCION SOCIAL",436879,4471848,9-20,2018-721
Centro educativo,Publica,021,El Berrueco,PLAZA de la Picota 7  ,PLAZA,Picota,7,,,28192,HALL PRINCIPAL DEL COLEGIO. ENTRADA POR C/ REAL AYUNTAMIENTO EL BERRUECO,452730,4526361,,2018-762
Establecimiento dependiente de una Administracion Publica,Publica,151,Torrelaguna,CALLE Doctor Manuel Hidalgo Huerta 12  ,CALLE,Doctor Manuel Hidalgo Huerta,12,,,28180,FRENTE AL MOSTRADOR DE RECEPCION AGENCIA MADRILENA DE ATENCION SOCIAL,454311,4519711,24H,2018-819
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,AVDA de Salas de los Infantes 1 BAJA ,AVDA,Salas de los Infantes,1,BAJA,,28034,EDIFICIO EL BARCO. DIRECCION GENERAL DE DEPORTES COMUNIDAD DE MADRID,442034,4481927,7.30-22.30,2018-842
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,PLAZA del Descubridor Diego de Ordas 3 1ª ,PLAZA,Descubridor Diego de Ordas,3,1ª,,28003,HALL DE ENTRADA. MODULO DERECHO CONSORCIO REGIONAL DE TRANSPORTES DE MADRID,440629,4476924,8-21,2018-866
Establecimiento dependiente de una Administracion Publica,Publica,006,Alcobendas,AVDA Olimpica 0  ,AVDA,Olimpica,0,,,28108,PABELLON DISTRITO CENTRO. EN CONTROL ENTRADA AYTO. ALCOBENDAS,446177,4487474,COMPETICIONES,2018-503
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Josefa Valcarcel 28 BAJA ,CALLE,Josefa Valcarcel,28,BAJA,,28027,ENTRADA CONTROL JEFATURA PROVINCIAL DE TRAFICO DE MADRID,445351,4477780,24H,2018-523
Establecimiento dependiente de una Administracion Publica,Publica,092,Mostoles,CALLE HALL DEL CENTO DE EXAMENES km16.5  ,CALLE,HALL DEL CENTO DE EXAMENES,km16.5,,,,DIRECCION GENERAL DE TRAFICO DE MADRID,426469,4466409,7-18,2018-524
Centro educativo,Publica,079,Madrid,CALLE de la Beneficencia 4 baja ,CALLE,Beneficencia,4,baja,,28004,I.E.S. SAN MATEO ,440611,4475226,8-18,2018-574
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4 EMBARQUE H16/8 AENA SME SA,449721,4482599,24 H,2018-635
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4 FACTURACION FILTRO PUENTE AEREO AENA SME SA,449721,4482599,24H,2018-636
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4 FACTURACION FARMACIA AENA SME SA,449721,4482599,24H,2018-638
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4 FACTURACION CENTRO HALL AENA SME SA,449721,4482599,24H,2018-639
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4S EMBARQUE R18 AENA SME SA,449721,4482599,24H,2018-654
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4S PLANTA 2 FILTRO AENA SME SA,449721,4482599,24H,2018-656
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4S PLANTA 2 DIQUE SUR AENA SME SA,449721,4482599,24H,2018-657
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4S EMBARQUE M45 COLUMNA RESTAURANTE MEDAS AENA SME SA,449721,4482599,24H,2018-658
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4S EMBARQUE M26 COLUMNA RESTAURANTE NATURAL BREAK AENA SME SA,449721,4482599,24H,2018-659
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4S EMBARQUE U58 COLUMNA ALDEASA AENA SME SA,449721,4482599,24H,2018-660
Aeropuertos,Publica,079,Madrid,AVDA de la Hispanidad S/N  ,AVDA,Hispanidad,S/N,,,28042,T4S EMBARQUE S22-S20 AENA SME SA,449721,4482599,24H,2018-661
Establecimiento dependiente de una Administracion Publica,Publica,130,San Fernando de Henares,CALLE de Ventura de Argumosa 4 BAJA ,CALLE,Ventura de Argumosa,4,BAJA,,28830,SALA DE CURAS ENTRE DESPACHO MEDICO Y DE ENFERMERIA AGENCIA MADRILENA DE ATENCION SOCIAL,454883,4475406,24 H,2018-688
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,021,El Berrueco,CALLE Escuelas 2  ,CALLE,Escuelas,2,,,28192,"EN EL POLIDEPORTIVO. 2ª SALA DEL GUMNASIO, PARED IZQUIERDA AYUNTAMIENTO DE EL BERRUECO",452730,4526361,,2018-761
Otros,Publica,079,Madrid,AVDA del Doctor Arce 37 BAJA ,AVDA,Doctor Arce,37,BAJA,,28002,"EN RECEPCION, A LA ENTRADA INSTITUTO CAJAL - AECSIC",442317,4477728,,2018-772
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CTRA M-607 Colmenar Viejo km 13 1ª ,CTRA,M-607 Colmenar Viejo,km 13,1ª,,,CONTROL DE ENFERMERIA MUDULO F.U.A. ENFERMERIA AGENCIA MADRILENA DE ATENCION SOCIAL,441863,4485240,24H,2018-773
Establecimiento dependiente de una Administracion Publica,Publica,134,San Sebastian de los Reyes,CALLE del Pilar 6  ,CALLE,Pilar,6,,,28701,EN EL HALL DE ENTRADA AL CENTRO AGENCIA MADRILENA DE ATENCION SOCIAL,446779,4488840,8-20,2018-834
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,TRVA de Felipe de Diego 13  ,TRVA,Felipe de Diego,13,,,28018,CENTRO CULTURAL PACO RABAL. EN LA RECEPCION COMUNIDAD DE MADRID,443877,4470084,,2018-917
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,AVDA de Manoteras 1  ,AVDA,Manoteras,1,,,28050,ARMARIO SUPERIOR EN GARITA DE CONTROL. ACCESO AL CENTRO AGENCIA MADRILENA DE ATENCION SOCIAL,443095,4482268,9.30-16.30,2018-1014
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,130,San Fernando de Henares,PASEO de los Pinos 0  ,PASEO,los Pinos,0,,,28830,BOTIQUOIN CENTRAL POLIDEPORIVO MUNICIPAL JUSTO GOMEZ SALTO AYTO. SAN FERNANDO DE HENARES,455591,4475761,,2018-1074
Centro de trabajo con mas de 250 trabajadores,Publica,079,Madrid,CALLE de Ramiro de Maeztu 7 -1 ,CALLE,Ramiro de Maeztu,7,-1,,28040,EN LOCAL DE SERVICIO MEDICO DEL RECTORADO.CIUDAD UNIVERSITARIA RECTORADO UNIVERSIDAD POLITECNICA DE MADRID,439011,4477823,,2018-1149
Centro educativo,Publica,079,Madrid,CALLE ETS DE INGENIERIA CIVIL 3 2ª ,CALLE,ETS DE INGENIERIA CIVIL,3,2ª,,,UNIVERSIDAD POLITECNICA DE MADRID,441762,4473195,,2018-1154
Centro educativo,Publica,079,Madrid,CALLE de Valencia 3  ,CALLE,Valencia,3,,,28012,EN LA CONSERJERIA ETS DE INGENIERIA Y DISENO IDUSTRIAL. UPM,440615,4473008,,2018-1155
Centro educativo,Publica,079,Madrid,AVDA de la Memoria 4  ,AVDA,Memoria,4,,,28040,ACCESO DESDE PLAZA CARDENAL CISNEROS.INGENIEROS NAVALES UNIVERSIDAD POLITECNICA DE MADRID,438604,4476740,,2018-1156
Centro educativo,Publica,079,Madrid,CALLE de Jose Gutierrez Abascal 2 0 ,CALLE,Jose Gutierrez Abascal,2,0,,28006,CONSERJERIA DE LA ESCUELA. ETS DE INGENIEROS INDUSTRIALES. EDIFICIO PRINCIPAL. UNIVERSIDAD POLITECNICA DE MADRID,441478,4476863,7.30-22 DIAS LABORABLES,2018-1163
Centro educativo,Publica,079,Madrid,CALLE de Jose Antonio Novais 10  ,CALLE,Jose Antonio Novais,10,,,28040,ETSI DE MONTES UNIVERSIDAD POLITECNICA DE MADRID,438662,4477810,,2018-1164
Establecimiento dependiente de una Administracion Publica,Publica,131,San Lorenzo de El Escorial,CALLE Floridablanca 20  ,CALLE,Floridablanca,20,,,28200,TEATRO REAL COLISEO. ENEL PASILLO ZONA PLATEAS COMUNIDAD DE MADRID,402926,4493974,,2018-916
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Cea Bermudez 1 0 ,CALLE,Cea Bermudez,1,0,,28003,TEATROS DEL CANAL COMUNIDAD DE MADRID,440210,4476654,,2018-918
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,PLAZA de Antonio Maria Segovia s/n  ,PLAZA,Antonio Maria Segovia,s/n,,,28031,JUNTO A RECEPCION EN VESTIBULO DE ENTRADA COMUNIDAD DE MADRID,447894,4470232,,2018-919
Establecimiento dependiente de una Administracion Publica,Publica,131,San Lorenzo de El Escorial,CALLE TEATRO AUDITORIO EL ESCORIAL. EN EL GUARDARROPA DEL HALL s/n  ,CALLE,TEATRO AUDITORIO EL ESCORIAL. EN EL GUARDARROPA DEL HALL,s/n,,,,COMUNIDAD DE MADRID,403332,4494092,,2018-920
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Cea Bermudez 1  ,CALLE,Cea Bermudez,1,,,28003,TEATROS DEL CANAL. JUNTO A RECEPCION COMUNIDAD DE MADRID,440210,4476654,,2018-921
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,115,Pozuelo de Alarcon,CMNO Huertas   ,CMNO,Huertas,,,,28223,PRADILLO. CONTROL POLIDEPORTIVO CENTRO DEPORTIVO AYTO. POZUELO DE ALARCON,430883,4477023,,2018-1058
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,CALLE de Alonso Heredia 2  ,CALLE,Alonso Heredia,2,,,28028,"EN PUESTO DE CONTROL, ENTRADA DEL CENTRO PLANTA CALLE CENTRO DEPORTIVO. AYTO. POZUELO DE ALARCON",442949,4476410,9-20,2018-1060
