City,Owner,Charging Station Id,Address,Longitude,Latitude,Geolocation Id,Number of connectors,Connector type,Connector Id,Price,Cables_Annotation,Bookable,Schedule,Time_limit
ALCOBENDAS,Estación de recarga ACCIONA-Bia en Moraleja Green,CS_d95a5a609bb60db2b8f72d39286b63af,"Av. de Europa, 13",-3.65764,40.519896,GL_d69f92c80ec3b2f766b2e4954c872749,2,TYPE 2 7.40kW,CN_6e4dc3deb6f291a9702ad7d4356db539,Gratuito,No,No se puede reservar,,
ALCOBENDAS,Feníe Energía/0259,CS_5fc28c2bd2d9253aed619834189f8634,"Avenida de Europa, 13",-3.65764,40.519896,GL_d69f92c80ec3b2f766b2e4954c872749,1,TYPE 2 7.40kW,CN_6e4dc3deb6f291a9702ad7d4356db539,"0,6353 EUR/charge",No,,24 horas todos los días,
ALCOBENDAS,Hampton by Hilton Alcobendas Madrid,CS_856fcfda90e25a0b2fcb206e25d94e9f,"Av. de Fernando Alonso, 4",-3.618301,40.534582,GL_49b3957798ddc8138c38991dca89e349,4,TYPE 2 7.40kW,CN_44251b9b5542fb78894daf5f0954df67,,Necesita manguera tipo 2,No se puede reservar,,
ALCOBENDAS,"Hinober, Valgrande",CS_4bf5b5f7696b7db0bb1dc511a7dede65,"Calle Valgrande, 8",-3.6519976,40.537382,GL_fbb6a39c683f2c45b8aa0dde37487c1d,4,TYPE 2 3.70kW,CN_aca0c903f453b927841229867d15cab7,"0,2500 EUR/kWh",No,No se puede reservar,24 horas todos los días,
ALCOBENDAS,Hotel Amura Alcobendas,CS_1a2fba2c73894c2417679bb6f86481d8,"Av. de Valdelaparra, 2",-3.641489,40.535981,GL_c330ebcc8e71ab98ae129fe2006330db,2,Schuko (EU Plug) 3.70kW,CN_ffaf3236c9cce78084a874b933d70aec,Gratuito,No,No se puede reservar,24 horas todos los días,
ALCOBENDAS,Hotel Uve Alcobendas,CS_6d7cec35f5996e2473aefa0cec86f29e,"Bulevar de Salvador Allende, 10",-3.63473,40.53712,GL_ca1877da75f81946f7a759f5e02b75c5,1,TYPE 2 7.40kW,CN_a7d7a2a52e12aa6a61f6a94cefad6546,Gratuito,No,No se puede reservar,24 horas todos los días,
ALCOBENDAS,McDonalds Alcobendas,CS_aa3150e695b7b85ea0b9f0e4fb16a5d0,"Calle del Marqués de la Valdavia, 140",-3.656808,40.547812,GL_a033af1b680424620b3abd2d070b3a62,3,"TYPE 2 43.00kW
CHAdeMO 50.00kW
CCS2 50.00kW
",CN_bbb6c66774ed8420b02bbd1d9233bcee,,Si tiene salvo Tipo 2,,,
ALCOBENDAS,Mercadona Alcobendas,CS_eada8e8fae076dd732b857243fd17727,"Carr. de Fuencarral, ",-3.6587782,40.5236888,GL_5cd618fef5e811b965a9203501ede5b5,,TYPE 2 3.70kW,CN_7870838b676446df02b810e28439eef6,Gratuito,No,No se puede reservar,Comercial,
ALCOBENDAS,Mitsubishi,CS_dd18283afd2013cc5c73c99a9ba389df,"Calle de Francisco Gervás, 4",-3.65044,40.530222,GL_eaca5bee0e1ff24f88772c2a009d1aa7,1,TYPE 2 11.00kW,CN_56e1aebd6114fd72ff27aa8f7069b0ae,,No,No se puede reservar,8-13:30 14-19 L-V,
ALCOBENDAS,Moraleja Green (Tesla DC),CS_f3147f6a04c1712bcfe5c99bba910af6,"Alcobendas Avenida de, ",-3.6575428,40.5186645,GL_f13db98741d3104ec204baab3799bcae,3,Tesla Dest.Charger 11.00kW,CN_015ae6cf0329d1378b2e1afdbad6d1aa,Gratuito,Sí,No se puede reservar,"Lunes a jueves: 8:30am a 2:00am, viernes y vísperas festivos hasta 3:30am. Sábados: 9:00am a 3:30am. Domingos y festivos de apertura: 9:00am a 2:00am",
ALCOBENDAS,Nissan Ibericar Reicomsa Alcobendas,CS_ca3e7e0f76999fd00a297c8f160baf99,"Calle de los Aragoneses, 18",-3.6639,40.52089,GL_503bdff2da8c9302af735804ea4556ac,2,"CHAdeMO 50.00kW
Schuko (EU Plug) 3.70kW
",CN_672f022903fc9cfcbdbebcb00dcd85cf,Gratuito,No,No se puede reservar,"L-J: 08:00 a 19:00, V: 08:00 a 18:00",
ALCOBENDAS,Parking Valportillo 20,CS_0a6fee4b67d455129119a95d1f84b34f,"Calle Valportillo Primera, 20",-3.653871,40.532161,GL_c68941b76db6dc75df2a659a08cbcabb,4,"TYPE 1 (SAE J1772) 3.70kW
TYPE 2 3.70kW
Schuko (EU Plug) 3.70kW
",CN_4ba98ed6161bcea19c4427a8463ea634,Gratuito,No,No se puede reservar,Lunes a Viernes 7AM a 7:30PM,
ALCOBENDAS,Rafaelhoteles Madrid Norte,CS_31eacb16824de32299e5a9a0e5e2c3bc,"Av. de Barajas, 28",-3.62144,40.53507,GL_ea9e334c1fa124319ba3273fccb39f8b,2,"Tesla Dest.Charger 11.00kW
TYPE 2 22.00kW
",CN_1641c4efe2d3cefb9062cd6b73226276,,No,,24 horas todos los días,
ALCOBENDAS,Renault Autofer Alcobendas,CS_38a6c22081aef3c863b5fd463e9950e3,"Calle del Marqués de la Valdavia, 111",-3.65477,40.546684,GL_a521c5399940b57cb6974a5cb206f987,2,TYPE 2 11.00kW,CN_ae07af8457a9533972bffe3209b2b72f,Gratuito,No,No se puede reservar,"L-V: 8.00 a 13.30 y 15.00 a 20:30, S: 9:00 a 14:00",
ALCOBENDAS,Saltoki Alcobendas,CS_62360aef46f29558184a9b9f607b96d1,"Carretera Fuencarral 46 km, 15",-3.648115,40.530784,GL_fb7167577e563d476749d351623b1477,1,TYPE 2 22.00kW,CN_da63717c95a23da70db1e17176700e3d,Exclusivo para clientes,No,No se puede reservar,Comercial,
ALCOBENDAS,Sede de Groupe Renault,CS_33b16af2bd23d50517f5f01b0991e8f8,"Av. de Europa, 1",-3.66149,40.51991,GL_ecfbf927546e1b017c77979ea5e99d26,22,"TYPE 2 22.00kW
Schuko (EU Plug) 3.70kW
TYPE 2 11.00kW
",CN_35d2d1445729ec8e65a064ea73dba035,Gratuito,No,Obligatorio,24 horas todos los días,
ALCOBENDAS,Acciona - Avenidad de Europa,CS_ae539d4c8e879725e93863829875b27a,"Avenida de Europa, 18",-3.656073,40.516553,GL_eb703e7a2ab3a6d7bfba8189df607e96,2,TYPE 2 22.00kW,CN_1e915be6b5e767c30c323b96747b5266,,No,,24 horas todos los días,
ALCOBENDAS,Acciona Agua,CS_69a480037c4718a731dbe8af62e4ec5b,"Av. de Europa, 20",-3.65682,40.51569,GL_1539c90e4561751e4391e58dceee54f0,1,TYPE 2 22.00kW,CN_108e59e0a35455fa901021142962710d,,No,No se puede reservar,Laborables,
ALCOBENDAS,FCM,CS_8a188f4e987358c2bc9c4ab53c6330b3,"Calle de Francisco Chico Mendes, 1",-3.6559595,40.5243333,GL_3df7cf76ac14debb18e7097c2d0baec5,1,TYPE 2 7.40kW,CN_092d6ee5a25f4938b6748afcaadd76de,,No,No se puede reservar,,
