City,Same_as_wikidata_city,Owner,Same_as_wikidata_Owner,Charging Station Id,Address,Geolocation Id,Longitude,Latitude,Number of connectors,Connector type,Connector Id,Price,Cables Annotation,Bookable,Schedule,Time limit
Alcobendas,https://www.wikidata.org/wiki/Q487679,Colegio Aldovea,,CS_081e7a36e1453827964fd020431feead,"Paseo de Alcobendas, 3",GL_573b65e0b0d9230fbdac9657be501cf6,-3.62615,40.52652,1,Schuko (EU Plug) 2.30kW,CN_1532fd09c19cea019e020ffba73b0b78,,No,No se puede reservar,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Creara/NL*LMS*P55887869,,CS_a83de739ec6cf36fa719df7a9e0680e4,"Av. de la Industria, 32",GL_47a804ca1f68fe34e0801bd99746fc5f,-3.651594,40.534246,2,TYPE 2 22.00kW,CN_a569425e8910d806178216abd26937c7,gratis,No,,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Distrito Telefónica,https://www.wikidata.org/wiki/Q5283575,CS_fed5f21419cfccf0836712d2523039e4,"RONDA DE LA COMUNICACIÓN, ",GL_a2c4137e40f369c2436b20a9a0274291,-3.6661338,40.5150227,2,"Schuko (EU Plug) 2.30kW
TYPE 2 7.40kW
",CN_1461f386dafe9db6899a808f22e1dee8,gratis,No,No se puede reservar,Laborables de 6:45 a 21:00,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Acciona,https://www.wikidata.org/wiki/Q339142,CS_b4179149bf49c2b2d107be3d47b88a07,"Av. de Europa, 13",GL_d69f92c80ec3b2f766b2e4954c872749,-3.65764,40.519896,2,TYPE 2 7.40kW,CN_1b2458a3ee880234cb7c13080db8633d,gratis,No,No se puede reservar,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,"FENIE ENERGIA,",https://www.wikidata.org/wiki/Q113464312,CS_33afd614e27151707cf960958c937d34,"Avenida de Europa, 13",GL_d69f92c80ec3b2f766b2e4954c872749,-3.65764,40.519896,1,TYPE 2 7.40kW,CN_1b2458a3ee880234cb7c13080db8633d,"0,6353 EUR/charge",No,,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Hampton by Hilton Alcobendas Madrid,,CS_22e17fd87acd6e144dd100efef145b4a,"Av. de Fernando Alonso, 4",GL_49b3957798ddc8138c38991dca89e349,-3.618301,40.534582,4,TYPE 2 7.40kW,CN_11ea22bb95d02e95a817d164bc47ae04,,Necesita manguera tipo 2,No se puede reservar,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,"Hinober, Valgrande",,CS_e41a77cb260a0a64d82a9e744c52a1bc,"Calle Valgrande, 8",GL_fbb6a39c683f2c45b8aa0dde37487c1d,-3.6519976,40.537382,4,TYPE 2 3.70kW,CN_454034db0abe1e20f3bcad91b5c85d52,"0,2500 EUR/kWh",No,No se puede reservar,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Amura Alcobendas,https://www.wikidata.org/wiki/Q111409068,CS_6680e841119b299ef81caa15ec56e96f,"Av. de Valdelaparra, 2",GL_c330ebcc8e71ab98ae129fe2006330db,-3.641489,40.535981,2,Schuko (EU Plug) 3.70kW,CN_dd4dacc704a4a8edc9f50f575e794a01,gratis,No,No se puede reservar,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Hotel Uve Alcobendas,,CS_da5b983cdb7a77644c2e27c232bf59c1,"Bulevar de Salvador Allende, 10",GL_ca1877da75f81946f7a759f5e02b75c5,-3.63473,40.53712,1,TYPE 2 7.40kW,CN_1beef8c82ee4a02de59f84f450f78571,gratis,No,No se puede reservar,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,McDonald’s,https://www.wikidata.org/wiki/Q38076,CS_ce0295c5dec489dc868d022eca75eb5a,"Calle del Marqués de la Valdavia, 140",GL_a033af1b680424620b3abd2d070b3a62,-3.656808,40.547812,3,"TYPE 2 43.00kW
CHAdeMO 50.00kW
CCS2 50.00kW
",CN_8b22a96ee9a887c410757aecaca98db0,,Si tiene salvo Tipo 2,,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Mercadona,https://www.wikidata.org/wiki/Q377705,CS_32bbd3f2973ef267b5bff4ee89b856f0,"Carr. de Fuencarral, ",GL_5cd618fef5e811b965a9203501ede5b5,-3.6587782,40.5236888,,TYPE 2 3.70kW,CN_c4297a140b5a849c2e84409fd2524969,gratis,No,No se puede reservar,Comercial,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Mitsubishi Motors,https://www.wikidata.org/wiki/Q36033,CS_e0c4ce3019d15941a8becc6f735f5879,"Calle de Francisco Gervás, 4",GL_eaca5bee0e1ff24f88772c2a009d1aa7,-3.65044,40.530222,1,TYPE 2 11.00kW,CN_68238f8239a9e17d06914ad88a3ff4d0,,No,No se puede reservar,8-13:30 14-19 L-V,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Moraleja Green (Tesla DC),,CS_936fe37666e69ddae46c9aad4119d44a,"Alcobendas Avenida de, ",GL_f13db98741d3104ec204baab3799bcae,-3.6575428,40.5186645,3,Tesla Dest.Charger 11.00kW,CN_8f0425d05c3e368eb802894906a54828,gratis,Sí,No se puede reservar,"Lunes a jueves: 8:30am a 2:00am, viernes y vísperas festivos hasta 3:30am. Sábados: 9:00am a 3:30am. Domingos y festivos de apertura: 9:00am a 2:00am",
Alcobendas,https://www.wikidata.org/wiki/Q487679,Nissan,https://www.wikidata.org/wiki/Q20165,CS_7ed86ef8563ce4fc2255260ff7496047,"Calle de los Aragoneses, 18",GL_503bdff2da8c9302af735804ea4556ac,-3.6639,40.52089,2,"CHAdeMO 50.00kW
Schuko (EU Plug) 3.70kW
",CN_f6bbd93e645302d5a967444b261790c5,gratis,No,No se puede reservar,"L-J: 08:00 a 19:00, V: 08:00 a 18:00",
Alcobendas,https://www.wikidata.org/wiki/Q487679,Parking Valportillo 20,,CS_d9fd84ffca1cf0b76342a5528fbdd635,"Calle Valportillo Primera, 20",GL_c68941b76db6dc75df2a659a08cbcabb,-3.653871,40.532161,4,"TYPE 1 (SAE J1772) 3.70kW
TYPE 2 3.70kW
Schuko (EU Plug) 3.70kW
",CN_6a93a09ac1a1905f74b7f041d81c0827,gratis,No,No se puede reservar,Lunes a Viernes 7AM a 7:30PM,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Rafaelhoteles Atocha,https://www.wikidata.org/wiki/Q111388622,CS_29006395ae0be50210e200a58934e908,"Av. de Barajas, 28",GL_ea9e334c1fa124319ba3273fccb39f8b,-3.62144,40.53507,2,"Tesla Dest.Charger 11.00kW
TYPE 2 22.00kW
",CN_e60ae6c2e3b429dad4277b2b6832451d,,No,,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Renault,https://www.wikidata.org/wiki/Q6686,CS_aa9a37d82752bdab8a88345be2be4319,"Calle del Marqués de la Valdavia, 111",GL_a521c5399940b57cb6974a5cb206f987,-3.65477,40.546684,2,TYPE 2 11.00kW,CN_c0a3d18846219b4468d8dddf13efc42c,gratis,No,No se puede reservar,"L-V: 8.00 a 13.30 y 15.00 a 20:30, S: 9:00 a 14:00",
Alcobendas,https://www.wikidata.org/wiki/Q487679,Saltoki Alcobendas,,CS_6de152dad793dc0ea4793b922568f4ae,"Carretera Fuencarral 46 km, 15",GL_fb7167577e563d476749d351623b1477,-3.648115,40.530784,1,TYPE 2 22.00kW,CN_7dd0e1d2ae8b81506f5a02f010d74528,Exclusivo para clientes,No,No se puede reservar,Comercial,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Renault,https://www.wikidata.org/wiki/Q6686,CS_7b539dea359ac2ad5ca141b0f0629a91,"Av. de Europa, 1",GL_ecfbf927546e1b017c77979ea5e99d26,-3.66149,40.51991,22,"TYPE 2 22.00kW
Schuko (EU Plug) 3.70kW
TYPE 2 11.00kW
",CN_621f6400f3788b8427201048dd58987e,gratis,No,Obligatorio,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Acciona,https://www.wikidata.org/wiki/Q339142,CS_d08949d77b03297be3122b2259d9b033,"Avenida de Europa, 18",GL_eb703e7a2ab3a6d7bfba8189df607e96,-3.656073,40.516553,2,TYPE 2 22.00kW,CN_a3cc39d442238b893926385e3ad98cf7,,No,,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Acciona,https://www.wikidata.org/wiki/Q339142,CS_eb8c1c3bf1ed4400b582a359d033865e,"Av. de Europa, 20",GL_1539c90e4561751e4391e58dceee54f0,-3.65682,40.51569,1,TYPE 2 22.00kW,CN_b90bb0bd0d02ba1fce4332b87d1e54f7,,No,No se puede reservar,Laborables,
Alcobendas,https://www.wikidata.org/wiki/Q487679,FCM,,CS_0a2778f730388f8c12e5e2ba4da3d6da,"Calle de Francisco Chico Mendes, 1",GL_3df7cf76ac14debb18e7097c2d0baec5,-3.6559595,40.5243333,1,TYPE 2 7.40kW,CN_d25e2354c5975124bcfeb264ed449cab,,No,No se puede reservar,,
